GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TaskManager,edu.eci.cvds.TaskManager.model,Task,4,29,0,0,2,13,1,7,1,7
TaskManager,edu.eci.cvds.TaskManager.model,User,54,0,0,0,20,0,11,0,11,0
TaskManager,edu.eci.cvds.TaskManager.service,TaskService,51,42,3,1,11,11,8,5,6,5
TaskManager,edu.eci.cvds.TaskManager.service,UserService,127,3,4,0,27,1,10,1,8,1
TaskManager,edu.eci.cvds.TaskManager.service,UserDetailsImpl,42,0,0,0,13,0,9,0,9,0
TaskManager,edu.eci.cvds.TaskManager.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
TaskManager,edu.eci.cvds.TaskManager.config,CorsConfig.new WebMvcConfigurer() {...},0,32,0,0,0,6,0,2,0,2
TaskManager,edu.eci.cvds.TaskManager.config,MvcConfig,0,68,0,0,0,12,0,3,0,3
TaskManager,edu.eci.cvds.TaskManager.security,JWTAuthenticationFilter,57,0,0,0,16,0,3,0,3,0
TaskManager,edu.eci.cvds.TaskManager.security,UserDetailServiceImpl,18,3,0,0,4,1,2,1,2,1
TaskManager,edu.eci.cvds.TaskManager.security,TokenUtils,62,0,0,0,21,0,3,0,3,0
TaskManager,edu.eci.cvds.TaskManager.security,JWTAuthorizationFilter,37,3,6,0,10,1,4,1,1,1
TaskManager,edu.eci.cvds.TaskManager.security,UserDetailsImpl,37,0,0,0,13,0,9,0,9,0
TaskManager,edu.eci.cvds.TaskManager.security,WebSecurityConfig,0,63,0,0,0,14,0,4,0,4
TaskManager,edu.eci.cvds.TaskManager.security,AuthCredentials,14,0,0,0,6,0,4,0,4,0
TaskManager,edu.eci.cvds.TaskManager.controller,TaskController,61,6,2,0,16,3,8,1,7,1
TaskManager,edu.eci.cvds.TaskManager.controller,AuthController,117,3,2,0,29,1,5,1,4,1
TaskManager,edu.eci.cvds.TaskManager,TaskManagerApplication,5,3,0,0,2,1,1,1,1,1
